##############################################################################
################################### HSK 1 ####################################
##############################################################################

# 1. .. (115)
# (1)
1,	家,             jiā,            home
1,	学校,           xuéxiào,        school
1,	饭馆,           fànguǎn,        restaurant
1,	商店,           shāngdiàn,      shop
1,	医院,           yīyuàn,         hospital
1,	火车站,         huǒchēzhàn,     railway station; train station
1,	中国,           Zhōngguó,       China
1,	北京,           Běijīng,        Beijing; Peking

# (2)
1,	上,             shàng,          up; on; on top of
1,	下,             xià,            down; under; below
1,	前面,           qiánmiàn,       in front of
1,	后面,           hòumiàn,        behind
1,	里,             lǐ,             inside; in

# (3)
1,	今天,           jīntiān,        today
1,	明天,           míngtiān,       tomorrow
1,	昨天,           zuótiān,        yesterday
1,	上午,           shàngwǔ,        forenoon; morning
1,	中午,           zhōngwǔ,        noon
1,	下午,           xiàwǔ,          afternoon
1,	年,             nián,           year
1,	月,             yuè,            month; moon
1,	日,             rì,             day; sun
1,	星期,           xīngqī,         week
1,	点,             diǎn,           point
1,	分钟,           fēnzhōng,       minute
1,	现在,           xiànzài,        now
1,	时候,           shíhou,         time

# (4)
1,	爸爸,           bàba,           father
1,	妈妈,           māma,           mother
1,	儿子,           érzi,           son
1,	女儿,           nǔ'ér,          daughter
1,	老师,           lǎoshī,         teacher
1,	学生,           xuésheng,       student
1,	同学,           tóngxué,        classmate
1,	朋友,           péngyou,        friend
1,	医生,           yīshēng,        doctor
1,	先生,           xiānsheng,      mister; Mr
1,	小姐,           xiǎojiě,        miss

# (5)
1,	衣服,           yīfu,           clothes
1,	水,             shuǐ,           water
1,	菜,             cài,            dish
1,	米饭,           mǐfàn,          rice
1,	水果,           shuǐguǒ,        fruit
1,	苹果,           píngguǒ,        apple
1,	茶,             chá,            tea
1,	杯子,           beīzi,          glass
1,	钱,             qián,           money
1,	飞机,           feījī,          airplane
1,	出租车,         chūzūchē,       taxi
1,	电视,           diànshì,        television; tv
1,	电脑,           diànnǎo,        computer; pc
1,	电影,           diànyǐng,       film; movie
1,	天气,           tiānqì,         weather
1,	猫,             māo,            cat
1,	狗,             gǒu,            dog
1,	东西,           dōngxi,         things

# (6)
1,	人,             rén,            person; human
1,	名字,           míngzi,         name
1,	书,             shū,            book
1,	汉语,           Hànyǔ,          Chinese language; Chinese
1,	字,             zì,             character; word
1,	桌子,           zhuōzi,         table; desk
1,	椅子,           yǐzi,           chair

# 2. .. (78)
# (1)
1,	谢谢,           xièxie,         thank you; thanks; thank
1,	不客气,         bú kèqi,        you are welcome; you're welcome; welcome; my pleasure
1,	再见,           zàijiàn,        see you; bye; goodbye
1,	请,             qǐng,           please
1,	对不起,         duìbuqǐ,        excuse me; sorry; I am sorry; I'm sorry
1,	没关系,         méi guānxi,     no problem

# (2)
1,	是,             shì,            be
1,	有,             yǒu,            have; own

# (3)
1,	看,             kàn,            see
1,	听,             tīng,           listen; hear
1,	说话,           shuōhuà,        speak; speak with; talk to
1,	读,             dú,             read aloud; read
1,	写,             xiě,            write
1,	看见,           kànjiàn,        see someone; see
1,	叫,             jiào,           be called; call
1,	来,             lái,            come
1,	回,             huí,            return
1,	去,             qù,             go; go to
1,	吃,             chī,            eat
1,	喝,             hē,             drink
1,	睡觉,           shuìjiào,       sleep
1,	打电话,         dǎ diànhuà,     make a phone call; phone; phone call; call
1,	做,             zuò,            make
1,	买,             mǎi,            buy
1,	卖,             mài,            sell
1,	开,             kāi,            drive; open; turn on
1,	坐,             zuò,            sit
1,	住,             zhù,            reside; dwell; live
1,	学习,           xuéxí,          learn; study
1,	工作,           gōngzuò,        work
1,	下雨,           xià yǔ,         rain

# (4)
1,	爱,             ài,             love
1,	喜欢,           xǐhuan,         like
1,	想,             xiǎng,          miss; want; wish; would like; feel like; hope
1,	认识,           rènshi,         know someone; know

# (5)
1,	会,             huì,            be able to; can
1,	能,             néng,           be good at; can

# 3. ... (28)
1,	好,             hǎo,            good
1,	大,             dà,             large; big
1,	小,             xiǎo,           small
1,	多,             duō,            much
1,	少,             shǎo,           few
1,	冷,             lěng,           cold
1,	热,             rè,             hot
1,	高兴,           gāoxìng,        glad; happy
1,	漂亮,           piàoliang,      beautiful; pretty

# 4. .. (19)
1,	我,             wǒ,             I; me
1,	你,             nǐ,             you
1,	他,             tā,             he; him
1,	她,             tā,             she; her
1,	我们,           wǒmen,          we; us
1,	这,             zhè,            this
1,	这儿,           zhèr,           here
1,	那,             nà,             that
1,	那儿,           nàr,            there
1,	哪,             nǎ,             which
1,	哪儿,           nǎr,            where
1,	谁,             shéi,           who
1,	什么,           shénme,         what
1,	多少,           duōshao,        how much
1,	几,             jǐ,             how many
1,	怎么,           zěnme,          how
1,	怎么样,         zěnmeyàng,      how

# 5. .. (15)
1,	一,             yī,             one; 1
1,	二,             ér,             two; 2
1,	三,             sān,            three; 3
1,	四,             sì,             four; 4
1,	五,             wǔ,             five; 5
1,	六,             liù,            six; 6
1,	七,             qī,             seven; 7
1,	八,             bā,             eight; 8
1,	九,             jiǔ,            nine; 9
1,	十,             shí,            ten; 10
1,	零,             líng,           zero; 0

# 6. .. (10)
1,	个,             gè,             a piece; a; piece; universal measure word
1,	岁,             suì,            measure word for years; years
1,	本,             běn,            measure word for paper collections; paper; paper collection
1,	些,             xiē,            some; few; several; a few
1,	块,             kuài,           measure word for money; money

# 7. .. (16)
1,	不,             bù,             not (present); not
1,	没,             méi,            not (past); not; empty
1,	很,             hěn,            very
1,	太,             tài,            too; very
1,	都,             dōu,            all

# 8. .. (4)
1,	和,             hé,             and; both; with

# 9. .. (6)
1,	在,             zài,            be at; at

# 10. .. (8)
1,	的,             de,             possessive particle; of
1,	了,             le,             past tense particle; change of situation particle; intensifying particle
1,	吗,             ma,             interrogative particle; question particle
1,	呢,             ne,             elliptic question particle; question particle

# 11. .. (1)
1,	喂,             wèi,            hello (on the phone); hello
